criterion,comparison,beta,se,odds_ratio,ci_low,ci_high,p_value,success,p_holm
faithfulness,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.2535205230152051,,3.5026524453785717,,,,True,
faithfulness,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,2.3379849339254157,,10.360338747432653,,,,True,
faithfulness,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
faithfulness,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,0.11261676209243272,,1.11920292975975,,,,True,
faithfulness,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,0.37203920118312606,,1.4506898489369393,,,,True,
safety,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.9252778379757467,,2.5225690284761955,,,,True,
safety,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.7709428061275416,,2.1618034548349545,,,,True,
safety,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.4434754391797282,,4.235390108372009,,,,True,
safety,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
safety,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,0.08319545724240181,,1.0867542017701117,,,,True,
safety,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,0.5061606244864233,,1.6589097748819406,,,,True,
unbiasedness,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,-0.3366847707800412,,0.7141339203035401,,,,True,
unbiasedness,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.4223292332851474,0.8255281512021009,1.5255106909101208,0.30249933154117975,7.693183506305601,0.6089402866271021,True,0.6089402866271021
unbiasedness,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.32881072694035973,,1.3893148708240257,,,,True,
unbiasedness,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
unbiasedness,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,0.06456958236758958,,1.0666997991599183,,,,True,
unbiasedness,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,-0.30796160006002715,,0.734943539255009,,,,True,
non-toxicity,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,-0.23963839932349823,,0.7869123576672519,,,,True,
non-toxicity,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,-0.2937929083132802,,0.7454308479914016,,,,True,
non-toxicity,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.20399160233931163,,1.2262878554636547,,,,True,
non-toxicity,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
non-toxicity,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,0.08777940700747877,,1.0917472636673715,,,,True,
non-toxicity,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,0.4046202700285758,,1.4987332780434335,,,,True,
